VariableName,VarUnits,SampleMedium,DataType,ValueType,TimeSupport,TimeUnits,Speciation,SiteName,SiteCode,Latitude,Longitude,GeneralCategory,NoDataValue
Precipitation,millimeter,Precipitation,Incremental,Field Observation,1,day,Not Applicable,"IOWA CITY MUNI AP             ",GHCN:USW00014937,41.6328,-91.5431,Climate,-9999
UTCTimeStamp,LocalTimestamp,UTCOffset,Value,MethodDescription,QualityControlLevel,ValueAccuracy,CensorCode,OffsetValue,OffsetDescription,OffsetUnit,Qualifier,QualifierDescription,SourceDescription,SourceLink,Citation
1948-04-15 00:00:00,1948-04-15 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-16 00:00:00,1948-04-16 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-17 00:00:00,1948-04-17 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-18 00:00:00,1948-04-18 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,T_01,unknown,unknown,unknown,unknown
1948-04-19 00:00:00,1948-04-19 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-20 00:00:00,1948-04-20 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-21 00:00:00,1948-04-21 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-22 00:00:00,1948-04-22 00:00:00,0,18.5,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-23 00:00:00,1948-04-23 00:00:00,0,9.7,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-24 00:00:00,1948-04-24 00:00:00,0,0,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-25 00:00:00,1948-04-25 00:00:00,0,1.3,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
1948-04-26 00:00:00,1948-04-26 00:00:00,0,8.4,No method specified,Quality controlled data,0,nc,0,,,__01,unknown,unknown,unknown,unknown
